id,tipo
6021,Inbound
6458,Inbound
6463,Inbound
6464,Inbound
6465,Inbound
6467,ReCompra
6468,Inbound
6469,Inbound
6470,Inbound
6472,Inbound
6476,Inbound
6487,Inbound
6493,ReCompra
6494,Inbound
6498,Inbound
6499,Inbound
6500,ReCompra
6502,Inbound
6503,Inbound
6504,Inbound
6505,Inbound
6513,Inbound
6518,Inbound
6521,Inbound
6523,Inbound
6524,Inbound
6525,Inbound
6526,Inbound
6527,Inbound
6528,Inbound
6529,Inbound
6530,Inbound
6531,Inbound
6532,Inbound
6537,Inbound
7043,Inbound
7044,Inbound
7045,Inbound
7048,Inbound
7052,Inbound
7053,Inbound
7054,ReCompra
7055,ReCompra
7061,ReCompra
7062,Inbound
7063,Inbound
7064,Inbound
7065,Inbound
7068,Inbound
7075,Inbound
7076,Inbound
7077,ReCompra
7078,Inbound
7079,Inbound
7082,Inbound
7083,ReCompra
7084,ReCompra
7085,Inbound
7086,Inbound
7088,Inbound
7090,ReCompra
7094,ReCompra
7095,Inbound
7097,ReCompra
7098,Inbound
7101,ReCompra
7103,Inbound
7104,ReCompra
7105,Inbound
7108,ReCompra
7112,ReCompra
7114,ReCompra
7115,Inbound
7117,Inbound
7121,Inbound
7122,ReCompra
7127,Inbound
7128,Inbound
7134,Inbound
7135,Inbound
7140,ReCompra
7141,ReCompra
7142,Inbound
7143,Inbound
7144,Inbound
7145,ReCompra
7147,Inbound
7158,Inbound
7183,Inbound
7184,Inbound
7185,Inbound
7186,ReCompra
7187,Inbound
7188,Inbound
7190,ReCompra
7192,Inbound
7193,Inbound
7217,Inbound
7218,Inbound
7227,Inbound
7228,Inbound
7230,Inbound
7231,Inbound
7232,ReCompra
7233,ReCompra
7234,Inbound
7235,ReCompra
7238,ReCompra
7242,Inbound
7244,ReCompra
7245,Inbound
7246,Inbound
7249,Inbound
7252,Inbound
7253,Inbound
7256,Inbound
7261,Inbound
7267,Inbound
7268,ReCompra
7269,Inbound
7277,Inbound
7280,Inbound
7281,Inbound
7285,Outbound
7286,Inbound
7287,Inbound
7288,Inbound
7289,Inbound
7290,Inbound
7293,Inbound
7294,Inbound
7296,Inbound
7297,Inbound
7298,Inbound
7306,Inbound
7307,Inbound
7314,Inbound
7315,Inbound
7316,Inbound
7317,Inbound
7318,Inbound
7322,Inbound
7323,Inbound
7324,Inbound
7328,Inbound
7329,Inbound
7332,ReCompra
7333,Inbound
7338,Inbound
7339,ReCompra
7341,Inbound
7343,ReCompra
7346,Inbound
7349,ReCompra
7350,Inbound
7352,Inbound
7353,Inbound
7354,Inbound
7355,ReCompra
7365,Inbound
7369,ReCompra
7370,Inbound
7371,Inbound
7372,Inbound
7374,Inbound
7383,Inbound
7385,Inbound
7386,Inbound
7387,Inbound
7388,Inbound
7391,Inbound
7392,Inbound
7398,Inbound
7399,Inbound
7400,ReCompra
7403,ReCompra
7404,ReCompra
7405,Inbound
7414,Inbound
7415,Inbound
7431,Inbound
7432,Inbound
7433,Inbound
7449,Inbound
7450,Inbound
7451,Inbound
7452,Inbound
7453,Inbound
7454,Inbound
7455,Inbound
7456,Inbound
7457,Inbound
7458,Inbound
7460,Inbound
7461,Inbound
7462,ReCompra
7468,ReCompra
7470,Inbound
7471,Inbound
7480,Inbound
7483,Inbound
7487,Inbound
7488,Inbound
7489,Inbound
7491,Inbound
7493,ReCompra
7494,ReCompra
7495,Inbound
7505,ReCompra
7506,Inbound
7507,Inbound
7510,Inbound
7516,Inbound
7517,Inbound
7519,Inbound
7520,Inbound
7538,ReCompra
7541,ReCompra
7544,Inbound
7551,Inbound
7552,ReCompra
7553,ReCompra
7554,ReCompra
7555,ReCompra
7556,ReCompra
7557,ReCompra
7558,ReCompra
7559,ReCompra
7567,Inbound
7568,Inbound
7569,Inbound
7574,ReCompra
7576,Inbound
7577,Inbound
7578,Inbound
7582,Inbound
7583,ReCompra
7584,ReCompra
7588,Inbound
7589,Inbound
7590,Inbound
7598,Inbound
7604,Inbound
7605,Inbound
7606,Inbound
7607,Inbound
7608,Inbound
7611,Inbound
7612,Inbound
7613,Inbound
7615,Inbound
7618,ReCompra
7619,Inbound
7623,Inbound
7624,Inbound
7625,Inbound
7626,Inbound
7627,Inbound
7628,ReCompra
7629,ReCompra
7634,Inbound
7635,Inbound
7636,Inbound
7638,Inbound
7641,Inbound
7642,Inbound
7643,Inbound
7644,Inbound
7645,Inbound
7647,Inbound
7648,ReCompra
7649,Inbound
7653,ReCompra
7656,Inbound
7657,Inbound
